Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
414,VILLA PETRARQUE,rue GAY-LUSSAC,34000,MONTPELLIER,0414 VILLAPETRARQUERUEGAYLUSSAC 34000 MONTPELLIER,3.836932,43.636574,Hors QPV,Secteur Bastide,19960415,20360415,19960415,1,27,14,20,19,7,2
415,VILLA LAURE,Rue Claude Berthollet,34000,MONTPELLIER,0415 VILLALAURERUECLAUDEBERTHOLLET 34000 MONTPELLIER,3.839379,43.636414,Hors QPV,Secteur Bastide,19960301,20360301,19960301,1,23,9,18,19,4,0
416,BASTIDE DU COUCHANT,rue FRANCIS LOPEZ,34090,MONTPELLIER,0416 BASTIDEDUCOUCHANTRUEFRANCISLOPEZ 34090 MONTPELLIER,3.837542,43.636272,Hors QPV,Secteur Bastide,19970520,20370520,19970520,1,11,6,10,9,3,3
417,BASTIDE DU LEVANT,rue FRANCIS LOPEZ,34090,MONTPELLIER,0417 BASTIDEDULEVANTRUEFRANCISLOPEZ 34090 MONTPELLIER,3.838786,43.635921,Hors QPV,Secteur Bastide,19970602,20370602,19970602,1,14,6,10,6,3,0
421,L'ECRAN,place D'ITALIE,34080,MONTPELLIER,0421 LECRANPLACEDITALIE 34080 MONTPELLIER,3.818312,43.642834,QPV,Secteur Belvedère,19990709,20390709,19990709,1,57,10,36,13,6,1
422,TRILOGIE 2,RUE MARCEL PAGNOL,34400,LUNEL VIEL,0422 TRILOGIE2RUEMARCELPAGNOL 34400 LUNELVIEL,4.094035,43.672234,Hors QPV,Secteur Lunel,20001015,20401015,19970401,1,14,11,17,7,7,5
432,MAURICE UTRILLO,rue YEHUDI MENUHIN,34000,MONTPELLIER,0432 MAURICEUTRILLORUEYEHUDIMENUHIN 34000 MONTPELLIER,3.88474,43.616756,Hors QPV,Secteur Beaux Arts,20010301,20410301,20010301,1,8,5,8,12,4,1
434,LES BORDERIES,rue GAY LUSSAC,34090,MONTPELLIER,0434 LESBORDERIESRUEGAYLUSSAC 34090 MONTPELLIER,3.838155,43.636108,Hors QPV,Secteur Bastide,19980101,20380101,19980101,1,11,3,11,5,3,2
440,MATIN CALME,RUE DU MISTRAL,34250,PALAVAS LES FLOTS,0440 MATINCALMERUEDUMISTRAL 34250 PALAVASLESFLOTS,3.935834,43.530857,Hors QPV,Secteur Agglomération,19920215,20320215,19920215,1,9,1,7,12,12,8
449,SAINT EXUPERY,av VILLENEUVE D'ANGOULEME,34000,MONTPELLIER,0449 SAINTEXUPERYAVVILLENEUVEDANGOULEME 34000 MONTPELLIER,3.860749,43.585552,Hors QPV,Secteur Grisettes,19980715,20380715,19980715,1,8,5,12,11,6,0
